// 1@tnm3,141,104,5,21004	itemshop	Profesor Oak	10342,19499,28122:100,28123:100,28124:100,28125:100
// 1@tnm3,134,104,5,21004	itemshop	Chanta Claus	10019,19499,28167:2000,28168:2000,28169:2000,28170:2000,28171:2000,28172:2000,28173:2000,28174:2000,28175:2000,28176:2000,28177:2000,28178:2000,28179:2000,28222:2000,28223:2000,28261:2000,28281:2000

//DONA SHOP
seal,115,81,5,21004	itemshop	Donation Shop	10058,19499,7608:700,32016:150,13570:100,13989:100,14004:100,12887:300,40012:2000,7776:100,14168:500,13710:800,14533:150,19492:800,12210:150,19493:800,7619:150,13610:700,7620:150,13611:700
seal,111,81,5,21004	itemshop	Donation Mid Hat	10132,19499,28032:300,5421:700,5325:700,5389:700,5800:700,28180:1200,28181:1200,28185:1200,28193:1200,28197:1200,28202:1200,28206:1200,28211:1200,28213:1200,28216:1200,28224:1200
seal,109,81,5,21004	itemshop	Donation Low Hat	10210,19499,5361:300,5377:500,28036:500,5548:700,5536:700,5574:700,5594:700,5596:700,5597:700,25264:700,25184:700,25185:700,25186:700,25187:700,5463:800,28142:900,28143:900,28144:900,28145:900,28146:900,28147:900,5155:1200,28133:1200,28134:1200,28135:1200,28136:1200,28137:1200,28138:1200,28139:1200,28140:1200,28141:1200
seal,113,81,5,21004	itemshop	Donation Upper Hat	10187,19499,28275:300,28273:300,5557:300,28034:500,28249:500,28251:500,5378:500,5314:500,5340:600,5341:600,5342:600,5343:600,5344:600,5345:600,25181:600,25182:600,25183:600,5293:700,28236:700,28033:700,28243:800,28252:800,28258:800,28272:800,28277:800,28280:800,28027:800,5359:800,28234:800,25062:800,28029:900,28025:900,5137:900,25278:900,5376:900,25133:900,5420:1000,5225:1000,28245:1000,5411:1000,5388:1000,5423:1000,28253:1000,28235:1000,5374:1500,5518:1500,5453:800,5452:1200,5451:2000
seal,115,73,5,21004	itemshop	Baphomet Horns Color	736,19499,25026:1500,25027:1500,25028:1500,25029:1500,25030:1500,25031:1500,25032:1500,25033:1500,25034:1500,25035:1500,25036:1500,25037:1500
seal,113,73,5,21004	itemshop	Large Baphomet Horns Color	736,19499,25038:1500,25039:1500,25040:1500,25041:1500,25042:1500,25043:1500,25044:1500,25045:1500,25046:1500,25047:1500,25048:1500
seal,111,73,5,21004	itemshop	Dragon Helm Gold Color	10108,19499,25251:2000,25252:2000,25253:2000,25254:2000,25255:2000,25256:2000,25257:2000,25258:2000,25259:2000
seal,109,73,5,21004	itemshop	Captain Hat Color	873,19499,28037:800,28038:800,28039:800,28040:800,28041:800,28042:800
seal,107,73,5,21004	itemshop	Gangster Scarf Color	853,19499,25014:300,25015:300,25016:300,25017:300,25018:300,25019:300,25020:300,25021:300,25022:300,25023:300,25024:300,25025:300
seal,107,81,5,21004	itemshop	Sunglasses Color	10179,19499,25092:900,40013:900,40014:900,40015:900,40016:900,40017:900,40018:900,40019:900,40020:900,40021:900,40022:900,40023:900
seal,118,81,5,21004	itemshop	New Donation Hats	651,19499,5470:200,5401:200,5358:200,5508:500,5363:800,5393:800,5403:1000,5653:1000,5372:1000,5822:1000,18505:1000,5490:1200,5856:1200,5857:1200,5858:1200,5859:1200,5454:1200,5277:1500
// MVP SHOPS
seal_in01,18,13,2,21004	itemshop	MvP Shop	10138,19501,13810:10,13534:10,7776:25,32011:30,13989:50,14004:50,14533:50,12210:50,13570:50,12103:100,7619:150,7620:150,14168:200,12903:200,12904:200,12905:200,12906:200,12907:200,12908:200,12887:150,40012:2000
seal_in01,13,16,5,21004	itemshop	MvP Shop Hats	737,19501,25061:500,25063:500,25064:500,25065:500,25067:500,25071:500,25081:500,25094:500,25098:500,25116:500,25137:500,25138:500,25140:500,25142:500,25147:500,25153:500,25157:500,25164:500,25192:500,25199:500,25236:500,20491:500,25238:500,25245:500,25281:500,25282:500,25283:500,25284:500,25285:500,25286:500,25287:500,25288:500,25289:500,25290:500,25292:500,25295:500,5780:500,18659:500;

// SEAL SHOPS
seal_in01,13,23,5,21004	itemshop	Seal Shop 1	10049,19500,20487:300,20490:300,20495:300,20497:300,20498:300,25151:300,20499:300,20451:300,20455:300,20456:300,20458:300,20459:300,20460:300,20461:300,20462:300,20463:300,20464:300,20465:300,20466:300,20467:300,20468:300,20470:300,25171:300,25172:300,25173:300,25174:300,25175:300,25176:300,25177:300,25178:300,25179:300,20062:300,20063:300,20064:300,20065:300,20066:300,20067:300,20068:300,20069:300,20070:300,20071:300,20076:300,20077:300,20078:300,20079:300,20080:300,20081:300,20048:300,20053:300,28085:300,28086:300;
seal_in01,13,25,5,21004	itemshop	Seal Shop 2	10049,19500,20416:300,20417:300,20418:300,20419:300,20420:300,20421:300,20422:300,20423:300,20424:300,20425:300,20426:300,20427:300,20428:300,20430:300,20431:300,20432:300,20433:300,20434:300,20435:300,20436:300,20437:300,20438:300,20440:300,20441:300,20442:300,20446:300,20447:300,20448:300,20449:300,20450:300,20392:300,20393:300,28092:300,20396:300,20397:300,20398:300,20399:300,20400:300,20401:300,20402:300,20403:300,20404:300,20405:300,20406:300,20407:300,20408:300,20409:300,20044:300,20045:300,20046:300,20047:300;
seal_in01,13,27,5,21004	itemshop	Seal Shop 3	10049,19500,20372:300,20373:300,20374:300,20375:300,20376:300,20377:300,20378:300,20379:300,20380:300,20381:300,20383:300,20384:300,20386:300,20331:300,20332:300,20333:300,20334:300,20335:300,20338:300,20339:300,20345:300,20347:300,20181:300,20182:300,20183:300,20185:300,20190:300,20191:300,20192:300,20193:300,20194:300,20195:300,20196:300,20197:300,20198:300,20199:300,20200:300,20201:300,20202:300,20204:300,20206:300,20082:300,20083:300,20084:300,20085:300,20040:300,20041:300,20042:300,20043:300,28093:300,19509:300;
